Mbinned,Rbinned,loc,scale,invdeg,skew
279299175079340.56,4.75,-0.01834162429173149,0.35048024705483627,0.11110218017630527,-0.06316413000106907
279299175079340.56,5.25,0.027351062236579356,0.3460576807462678,0.11256229026323526,-0.12948173964701737
279299175079340.56,5.75,0.09923644592175879,0.33522012834872983,0.13209150798433633,-0.11187730628126567
279299175079340.56,6.25,0.16783852086621334,0.3443250825554436,0.1435109951737998,-0.1433568586568789
279299175079340.56,6.75,0.2535705986424017,0.2873959115403708,0.13861751483337215,-0.13696468961629094
279299175079340.56,7.25,0.3069627254065645,0.33740129464703944,0.1388675067553846,-0.12808668877644525
279299175079340.56,7.75,0.36590651893559306,0.3372932392029943,0.1387986435263055,-0.05968476751284308
279299175079340.56,8.25,0.41484726464544874,0.3399460678627546,0.1355312977440127,-0.1336665512051109
279299175079340.56,8.75,0.4581722890139471,0.3366684738444708,0.13403164770407955,-0.14505053331930073
279299175079340.56,9.25,0.5260452438999466,0.2878679636116282,0.17142540518804117,-0.12034049097734126
279299175079340.56,9.75,0.577192750959628,0.34687808654343016,0.1216175808848961,-0.1430887241423614
279299175079340.56,10.25,0.6548243184718896,0.33908325165430275,0.11235203574742239,-0.1216256571307312
279299175079340.56,10.75,0.7024415343225479,0.3396372401956352,0.10642558256556076,-0.09024302458062355
279299175079340.56,11.25,0.7565872068586289,0.34812657000338226,0.12282608393344381,-0.05356355446055416
279299175079340.56,11.75,0.803700649236818,0.35123901116331446,0.09051965679182974,-0.19201026134397917
279299175079340.56,12.25,0.9053103814607185,0.3458462707001324,0.10865681645363358,-0.06237425129610076
279299175079340.56,12.75,0.9442719099991588,0.34969570015490936,0.12127267815461115,-0.10144376528855464
279299175079340.56,13.25,0.9732768025002216,0.3448444619262382,0.12195809808772051,-0.12084725355657101
279299175079340.56,13.75,1.0300744855846777,0.3503250963768821,0.12348150698622973,-0.11530882588268254
279299175079340.56,14.25,1.0914550018145275,0.3419979442358335,0.06769522628014844,-0.13248787890571753
279299175079340.56,14.75,1.1498821987003622,0.3484242601855271,0.11672846891631147,-0.13344071761742962
279299175079340.56,15.25,1.1958709528783664,0.35487351961651153,0.09374016676150296,-0.07483725009200853
279299175079340.56,15.75,1.2394120359529655,0.35301590666278254,0.093592598730083,-0.12287399072007081
279299175079340.56,16.25,1.2979469104875105,0.34968557735632516,0.08857009422133408,-0.08906768957750114
279299175079340.56,16.75,1.3370376381096334,0.34609175507214107,0.09734524161442792,-0.11601449426767028
279299175079340.56,17.25,1.382082875485958,0.34821905274057,0.07415088064300993,-0.12154255994131466
279299175079340.56,17.75,1.4206160916939568,0.3499610509691226,0.06446893060350244,-0.23370729772479193
279299175079340.56,18.25,1.4925076251959573,0.35738648456849215,0.08513976347625056,-0.09882070679812072
279299175079340.56,18.75,1.5666064767447039,0.3583119352395931,0.08448845886355177,-0.11150758279778325
279299175079340.56,19.25,1.6094596180086829,0.3551135797705773,0.06128384243998816,-0.12536566035130076
279299175079340.56,19.75,1.6584092184474017,0.3630716862017869,0.06456878951862859,-0.10607165341674901
492220205358604.06,0.25,0.014093519649072288,0.6271663460578634,0.0407512057353546,-0.02488421793671996
492220205358604.06,0.75,-0.07799484628762587,0.5518107979443109,0.04715836217454956,-0.0571290810937921
492220205358604.06,1.25,-0.2806434673897113,0.4445225304505536,0.026934127938522786,0.23300263269026716
492220205358604.06,1.75,-0.5081579153804131,0.3897134117972425,0.08300451387859108,0.29631768047296353
492220205358604.06,2.25,-0.45513949418908284,0.34798732314714426,0.14228159348247607,0.135658708414936
492220205358604.06,2.75,-0.3398840247613444,0.3286247236255526,0.09795632869880898,0.020521846327907947
492220205358604.06,3.25,-0.2509657758895374,0.32705749460983463,0.08801244943009524,0.023370271455027146
492220205358604.06,3.75,-0.1592407504683226,0.3265836200778749,0.16649340690863235,0.0034928851190543647
492220205358604.06,4.25,-0.10439031916474543,0.33717982359507787,0.16641568149169786,-0.05178173517406272
492220205358604.06,4.75,-0.049079360462244,0.32729547262958486,0.13463514792509396,-0.07002351028081766
492220205358604.06,5.25,0.029010356362036548,0.31339425688640676,0.12165407598098345,-0.09965269988097575
492220205358604.06,5.75,0.10658487891459473,0.3062590546424208,0.13138565582264294,-0.12465086200098968
492220205358604.06,6.25,0.17684126262789066,0.3167089825342922,0.12819460568562446,-0.13898377457932531
492220205358604.06,6.75,0.23817060235827622,0.30605348397084814,0.12161672706088374,-0.18021285484728788
492220205358604.06,7.25,0.32144369834633996,0.29369787915993195,0.10848519401277479,-0.08648527966084849
492220205358604.06,7.75,0.38211290250706437,0.2969790355090015,0.12554860983602723,-0.10417242754850992
492220205358604.06,8.25,0.44818726161322076,0.28814329848940606,0.11261103336624033,-0.08616983557895969
492220205358604.06,8.75,0.5093527972209841,0.2888689840119883,0.08911471557088552,-0.0943669570598626
492220205358604.06,9.25,0.5493947542952011,0.296465429857702,0.1216175808848961,-0.05345488107079013
492220205358604.06,9.75,0.5839764735112678,0.2972132824005867,0.09578208564185092,-0.1546416271565998
492220205358604.06,10.25,0.6377025567365716,0.30160253038197404,0.11648184286225682,-0.23227085579227547
492220205358604.06,10.75,0.7098955442928875,0.2890679642279525,0.07895738618292913,-0.10795571186349924
492220205358604.06,11.25,0.7595167925479186,0.28900713862395233,0.06715654480614988,-0.23370729772479193
492220205358604.06,11.75,0.8344298962602281,0.29328467836564365,0.12185416254344388,-0.0678787391574061
492220205358604.06,12.25,0.8929556510176295,0.2895243677429857,0.09550550700850603,-0.07308204601313445
492220205358604.06,12.75,0.9442719099991586,0.2875333830295416,0.10340303658250741,-0.0952622574626787
492220205358604.06,13.25,1.0160311404401623,0.296433903242652,0.09611425026092565,-0.038536618402826454
492220205358604.06,13.75,1.0691016025983884,0.2896715796772507,0.13072223325348545,-0.055365809170076066
492220205358604.06,14.25,1.1334612043219359,0.28853181154793667,0.12399033173427126,-0.014616139267066237
492220205358604.06,14.75,1.1594442309641004,0.2902960660882004,0.1222091021710934,-0.08180734369377499
492220205358604.06,15.25,1.237839242690067,0.28742512329892045,0.09236440179911355,-0.010399158000515867
492220205358604.06,15.75,1.2750712984528347,0.2860858933799818,0.11523627064418543,-0.034101055164853705
492220205358604.06,16.25,1.3456001162277471,0.28532407555712835,0.11861830659912631,-0.030105380160868857
492220205358604.06,16.75,1.383509300086145,0.29222396611950435,0.11396637380604834,-0.06007995620364293
492220205358604.06,17.25,1.4487440300635297,0.2912892473828617,0.10688943749612378,-0.12662787205463688
492220205358604.06,17.75,1.4826672103448877,0.2879207795473629,0.07665937784091763,0.0044428078021197
492220205358604.06,18.25,1.545347342317956,0.2876215078438011,0.1216175808848961,0.03582374094240983
492220205358604.06,18.75,1.6127875281242774,0.29521389218899236,0.1258782907201164,0.04577708792975553
492220205358604.06,19.25,1.6608713523097909,0.28808316910419773,0.1026860748376963,0.056451797836555496
492220205358604.06,19.75,1.7134992660768211,0.28822951334706154,0.08988639283262531,0.036586907299555264
867459527921776.1,0.25,-0.002141650435408677,0.6352198969211578,0.022643702944882774,0.06566076928023631
867459527921776.1,0.75,0.041818655213700894,0.4698250019301254,0.043715408069757294,0.21607427510454244
867459527921776.1,1.25,0.011141394195679654,0.3459586041348498,0.049838971699486,-0.06493460320772808
867459527921776.1,1.75,-0.5511359108048701,0.2916854796175928,0.061200148042070614,0.375906516527714
867459527921776.1,2.25,-0.3646451973229589,0.2582194223992274,0.12018527495913275,0.8747104097658693
867459527921776.1,2.75,-0.3061952904005597,0.2364877629519783,0.30622270912042193,0.2681297363234065
867459527921776.1,3.25,-0.20129553186328258,0.2209369564282836,0.2604981772814222,0.22331310193423792
867459527921776.1,3.75,-0.10458964547410426,0.2082696239007556,0.25916315711066684,0.20895215100795422
867459527921776.1,4.25,0.051047641144560535,0.23208247679234337,0.18527718468551183,0.5087757366454201
867459527921776.1,4.75,0.07367442991691879,0.22001023210565956,0.24585511408729904,0.19268977905033868
867459527921776.1,5.25,0.12911999190386278,0.21349221652798875,0.19664181982339263,0.07611125923325901
867459527921776.1,5.75,0.19795138846973737,0.23280867705378858,0.22117388824943263,0.030697681897465086
867459527921776.1,6.25,0.2800325746226065,0.21626296205840334,0.18170316002376016,0.0742225251145412
867459527921776.1,6.75,0.24795346876070162,0.23579501023480637,0.12165091452508792,-0.4463617105081425
